year,universalism,egalitarianism,progress
1977,-0.05057142857142857,-0.18371428571428572,-0.15571428571428572
1978,-0.027093596059113302,-0.12561576354679804,-0.18620689655172412
1979,-0.1284263959390863,-0.19416243654822335,-0.18680203045685279
1980,-0.08847184986595175,-0.11715817694369975,-0.1487935656836461
1981,-0.07300469483568076,-0.1779342723004695,-0.25046948356807514
1982,-0.191644908616188,-0.2741514360313316,-0.25326370757180156
1983,-0.09249329758713137,-0.1517426273458445,-0.12761394101876675
1984,-0.049600000000000005,-0.14053333333333334,-0.1368
1985,-0.024096385542168676,-0.0930722891566265,-0.08554216867469878
1986,-0.0410126582278481,-0.1630379746835443,-0.1777215189873418
1987,-0.2348404255319149,-0.26595744680851063,-0.27313829787234045
1988,-0.11648648648648649,-0.16486486486486487,-0.26135135135135135
1989,-0.06561181434599156,-0.14789029535864978,-0.13185654008438819
1990,-0.10275862068965518,-0.19149425287356323,-0.13839080459770114
1991,-0.055864197530864204,-0.15339506172839507,-0.11049382716049382
1992,-0.09977116704805493,-0.12334096109839816,-0.1725400457665904
1993,-0.09755555555555555,-0.17555555555555555,-0.17600000000000002
1994,-0.05073891625615764,-0.1270935960591133,-0.2017241379310345
1995,-0.07349081364829396,-0.16036745406824146,-0.08503937007874016
1996,-0.15627450980392157,-0.20921568627450982,-0.14215686274509803
1997,-0.05519125683060109,-0.1628415300546448,-0.20792349726775955
1998,-0.036965811965811966,-0.14337606837606837,-0.10213675213675213
1999,0.014218009478672985,-0.06113744075829384,-0.09905213270142181
2000,-0.08015665796344647,-0.12924281984334204,-0.19530026109660573
2001,-0.05150753768844221,-0.1298994974874372,-0.15175879396984923
2002,-0.015789473684210527,-0.11342105263157895,-0.11710526315789474
2003,-0.05708333333333333,-0.143125,-0.156875
2004,0.046981627296587926,-0.04409448818897638,-0.10761154855643044
2005,-0.0805491990846682,-0.15446224256292906,-0.17894736842105263
2006,-0.03333333333333333,-0.10241545893719807,-0.10555555555555557
2007,-0.04860759493670886,-0.12430379746835443,-0.12886075949367087
2008,0.017108433734939758,-0.06843373493975904,-0.00048192771084337407
2009,0.011617312072892938,-0.04920273348519363,0.0045558086560364445
2010,-0.029234972677595627,-0.13797814207650272,-0.03333333333333333
2011,-0.10940594059405942,-0.19356435643564357,-0.12301980198019803
2012,-0.060178970917225946,-0.12841163310961967,-0.0912751677852349
2013,0.005870445344129555,-0.07165991902834008,0.05748987854251012
2014,0.0012658227848101257,-0.0689873417721519,0.048945147679324896
2015,0.005416666666666667,-0.08895833333333333,0.04604166666666667
2016,-0.029184549356223177,-0.07725321888412018,-0.03347639484978541
2017,-0.04632034632034632,-0.12683982683982684,-0.09047619047619047
2018,-0.016015625,-0.065625,0.011132812499999999
2019,0.07704626334519572,0.012633451957295372,0.03683274021352313
2020,-0.01708683473389356,-0.060504201680672276,-0.10168067226890755
2021,0.02848360655737705,-0.050204918032786885,-0.005327868852459018
2022,0.020682730923694777,-0.10120481927710843,-0.055020080321285136
2023,0.037469586374695864,-0.059124087591240874,0.06739659367396593
