Year,Rank,Title,China Gross
2002,1,Star Wars: Episode II - Attack of the Clones,-
2002,2,E.T. the Extra-Terrestrial20th Anniversary,-
2002,3,The Lord of the Rings: The Fellowship of the Ring,-
2002,4,The Bourne Identity,-
2002,5,Ice Age,-
2002,6,Spider-Man,-
2003,1,The Italian Job,-
2003,2,The Core,-
2003,3,Catch Me If You Can,-
2003,4,X2: X-Men United,-
2003,5,Freddy vs. Jason,-
2003,6,Hulk,-
2003,7,Johnny English,-
2004,1,The Lord of the Rings: The Return of the King,-
2004,2,House of Flying Daggers,-
2004,3,The Day After Tomorrow,-
2004,4,Spider-Man 2,-
2004,5,Troy,-
2004,6,Garfield: The Movie,-
2004,7,Harry Potter and the Prisoner of Azkaban,-
2004,8,Master and Commander: The Far Side of the World,-
2004,9,"I, Robot",-
2004,10,The Passion of the Christ,-
2005,1,Star Wars: Episode III - Revenge of the Sith,-
2005,2,Mr. & Mrs. Smith,-
2005,3,Harry Potter and the Goblet of Fire,-
2005,4,The Legend of Zorro,-
2005,5,Madagascar,-
2005,6,Anacondas: The Hunt for the Blood Orchid,-
2005,7,War of the Worlds,-
2005,8,Taxi2004 Re-release,-
2005,9,Shark Tale,-
2005,10,Batman Begins,-
2006,1,Curse of the Golden Flower,-
2006,2,The Banquet,-
2006,3,The Da Vinci Code,-
2006,4,Fearless,-
2006,5,King Kong,-
2006,6,Mission: Impossible III,-
2006,7,Poseidon,-
2006,8,Superman Returns,-
2006,9,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",-
2006,10,Garfield: A Tail of Two Kitties,-
2007,1,Transformers,-
2007,2,Harry Potter and the Order of the Phoenix,-
2007,3,Spider-Man 3,-
2007,4,The Warlords,-
2007,5,"Lust, Caution",-
2007,6,Pirates of the Caribbean: At World's End,-
2007,7,Casino Royale,-
2007,8,Assembly,-
2007,9,Night at the Museum,-
2007,10,Protégé,-
2008,1,Red Cliff,-
2008,2,Painted Skin,-
2008,3,If You Are the One,-
2008,4,The Forbidden Kingdom,-
2008,5,CJ7,-
2008,6,Kung Fu Panda,-
2008,7,Quantum of Solace,-
2008,8,Assembly,-
2008,9,The Mummy: Tomb of the Dragon Emperor,-
2008,10,Kung Fu Dunk,-
2009,1,Transformers: Revenge of the Fallen,-
2009,2,Red Cliff II,-
2009,3,If You Are the One,-
2009,4,Crazy Racer,-
2009,5,Look for a Star,-
2009,6,Pleasant Goat and Big Big Wolf,-
2009,7,Star Trek,-
2009,8,Transporter 3,-
2009,9,Valkyrie,-
2009,10,Dragonball Evolution,-
2010,1,Avatar,-
2010,2,Aftershock,-
2010,3,Inception,-
2010,4,Let the Bullets Fly,-
2010,5,Detective Dee: The Mystery of the Phantom Flame,-
2010,6,If You Are the One 2,-
2010,7,Harry Potter and the Deathly Hallows: Part 1,-
2010,8,The Expendables,-
2010,9,Sacrifice,-
2010,10,Just Call Me Nobody,-
2011,1,Transformers: Dark of the Moon,-
2011,2,Kung Fu Panda 2,-
2011,3,Pirates of the Caribbean: On Stranger Tides,-
2011,4,Harry Potter and the Deathly Hallows: Part 2,-
2011,5,Beginning of the Great Revival,-
2011,6,Let the Bullets Fly,-
2011,7,If You Are the One 2,-
2011,8,Shaolin,-
2011,9,Rise of the Planet of the Apes,-
2011,10,Eternal Moment,-
2012,1,Titanic2012 3D Release,-
2012,2,Mission: Impossible - Ghost Protocol,-
2012,3,Life of Pi,-
2012,4,The Avengers,-
2012,5,Men in Black³,-
2012,6,Ice Age: Continental Drift,-
2012,7,The Dark Knight Rises,-
2012,8,The Amazing Spider-Man,-
2012,9,Battleship,-
2012,10,Journey 2: The Mysterious Island,-
2013,1,Journey to the West: Conquering the Demons,-
2013,2,Iron Man 3,-
2013,3,So Young,-
2013,4,Pacific Rim,-
2013,5,Young Detective Dee: Rise of the Sea Dragon,-
2013,6,Personal Tailor,-
2013,7,American Dreams in China,-
2013,8,Finding Mr. Right,-
2013,9,Tiny Times,-
2013,10,Gravity,-
2014,1,Transformers: Age of Extinction,-
2014,2,Breakup Buddies,-
2014,3,The Monkey King: Havoc in Heaven's Palace,-
2014,4,Interstellar,-
2014,5,X-Men: Days of Future Past,-
2014,6,Captain America: The Winter Soldier,-
2014,7,"Dad, Where Are We Going?",-
2014,8,Dawn of the Planet of the Apes,-
2014,9,The Breakup Guru,-
2014,10,The Continent,-
2015,1,Furious 7,-
2015,2,Monster Hunt,-
2015,3,Lost in Hong Kong,-
2015,4,Avengers: Age of Ultron,-
2015,5,Jurassic World,-
2015,6,Goodbye Mr. Loser,-
2015,7,Mojin: The Lost Legend,-
2015,8,Jian Bing Man,-
2015,9,From Vegas to Macau II,-
2015,10,Monkey King: Hero Is Back,-
2016,1,The Mermaid,-
2016,2,Zootopia,-
2016,3,Warcraft,-
2016,4,Captain America: Civil War,-
2016,5,The Monkey King 2,-
2016,6,From Vegas to Macau III,-
2016,7,Operation Mekong,-
2016,8,Kung Fu Panda 3,-
2016,9,Time Raiders,-
2016,10,The Jungle Book,-
2017,1,Wolf Warrior 2,-
2017,2,The Fate of the Furious,-
2017,3,Never Say Die,-
2017,4,Kung Fu Yoga,-
2017,5,Journey to the West: The Demons Strike Back,-
2017,6,Transformers: The Last Knight,-
2017,7,Dangal,-
2017,8,Youth,-
2017,9,Coco,-
2017,10,Pirates of the Caribbean: Dead Men Tell No Tales,-
2018,1,Operation Red Sea,-
2018,2,Detective Chinatown 2,-
2018,3,Dying to Survive,-
2018,4,Hello Mr. Billionaire,-
2018,5,Avengers: Infinity War,-
2018,6,Monster Hunt 2,-
2018,7,Venom,-
2018,8,The Ex-File 3: Return of the Exes,-
2018,9,Aquaman,-
2018,10,Jurassic World: Fallen Kingdom,-
2019,1,Ne Zha,-
2019,2,The Wandering Earth,-
2019,3,Avengers: Endgame,-
2019,4,"My People, My Country",-
2019,5,The Captain,-
2019,6,Crazy Alien,-
2019,7,Pegasus,-
2019,8,The Bravest,-
2019,9,Better Days,-
2019,10,Fast & Furious Presents: Hobbs & Shaw,-
2020,1,"My People, My Homeland",-
2020,2,The Sacrifice,-
2020,3,Caught in Time,-
2020,4,Ip Man 4: The Finale,-
2020,5,Tenet,-
2020,6,Shock Wave 2,-
2020,7,The Rescue,-
2020,8,The Yin-Yang Master: Dream of Eternity,-
2020,9,Sheep Without a Shepherd,-
2020,10,The Croods: A New Age,-
2021,1,The Battle at Lake Changjin,-
2021,2,"Hi, Mom",-
2021,3,Detective Chinatown 3,-
2021,4,"My Country, My Parents",-
2021,5,F9: The Fast Saga,-
2021,6,A Little Red Flower,-
2021,7,Raging Fire,-
2021,8,Chinese Doctors,-
2021,9,Godzilla vs. Kong,-
2021,10,Cliff Walkers,-
2022,1,Jurassic World Dominion,-
2022,2,Avatar: The Way of Water,-
2022,3,The Bad Guys,-
2022,4,Minions: The Rise of Gru,-
2022,5,Fantastic Beasts: The Secrets of Dumbledore,-
2022,6,The Batman,-
2022,7,Moonfall,-
2022,8,The Matrix Resurrections,-
2022,9,PAW Patrol: The Movie,-
2022,10,Encanto,-
2023,1,Fast X,-
2023,2,Meg 2: The Trench,-
2023,3,Transformers: Rise of the Beasts,-
2023,4,Guardians of the Galaxy Vol. 3,-
2023,5,Avatar: The Way of Water,-
2023,6,Oppenheimer,-
2023,7,Aquaman and the Lost Kingdom,-
2023,8,Mission: Impossible - Dead Reckoning Part One,-
2023,9,Ant-Man and the Wasp: Quantumania,-
2023,10,Barbie,-
2024,1,Godzilla x Kong: The New Empire,-
2024,2,Alien: Romulus,-
2024,3,Deadpool & Wolverine,-
2024,4,Despicable Me 4,-
2024,5,Kung Fu Panda 4,-
2024,6,Dune: Part Two,-
2024,7,Inside Out 2,-
2024,8,Kingdom of the Planet of the Apes,-
2024,9,The Garfield Movie,-
2024,10,Transformers One,-
