Year,Rank,Title,China Gross
2001,1,Harry Potter and the Sorcerer's Stone,-
2001,2,Swordfish,-
2001,3,Spy Game,-
2001,4,The Others,-
2001,5,Don't Say a Word,-
2001,6,Serendipity,-
2001,7,The Score,-
2001,8,The One,-
2001,9,America's Sweethearts,-
2001,10,American Pie 2,-
2002,1,Harry Potter and the Chamber of Secrets,-
2002,2,Ice Age,-
2002,3,The Lord of the Rings: The Fellowship of the Ring,-
2002,4,Spider-Man,-
2002,5,Minority Report,-
2002,6,The Lord of the Rings: The Two Towers,-
2002,7,The Bourne Identity,-
2002,8,Red Dragon,-
2002,9,The Scorpion King,-
2002,10,Star Wars: Episode II - Attack of the Clones,-
2003,1,The Lord of the Rings: The Two Towers,-
2003,2,Hero,-
2003,3,Hulk,-
2003,4,Catch Me If You Can,-
2003,5,The Matrix Reloaded,-
2003,6,Die Another Day,-
2003,7,Lara Croft: Tomb Raider - The Cradle of Life,-
2003,8,Bruce Almighty,-
2003,9,2 Fast 2 Furious,-
2003,10,Tears of the Sun,-
2004,1,Spider-Man 2,-
2004,2,"I, Robot",-
2004,3,The Incredibles,-
2004,4,Kung Fu Hustle,-
2004,5,Shark Tale,-
2004,6,National Treasure,-
2004,7,The Terminal,-
2004,8,Harry Potter and the Prisoner of Azkaban,-
2004,9,Shrek 2,-
2004,10,Alien vs. Predator,-
2005,1,War of the Worlds,-
2005,2,Constantine,-
2005,3,Harry Potter and the Goblet of Fire,-
2005,4,Madagascar,-
2005,5,Kung Fu Hustle,-
2005,6,Mr. & Mrs. Smith,-
2005,7,Star Wars: Episode III - Revenge of the Sith,-
2005,8,Kingdom of Heaven,-
2005,9,Howl's Moving Castle,-
2005,10,Meet the Fockers,-
2006,1,Mission: Impossible III,-
2006,2,The Da Vinci Code,-
2006,3,King Kong,-
2006,4,Click,-
2006,5,Pirates of the Caribbean: Dead Man's Chest,-
2006,6,Ice Age 2: The Meltdown,-
2006,7,Final Destination 3,-
2006,8,Casino Royale,-
2006,9,X-Men: The Last Stand,-
2006,10,Fun with Dick and Jane,-
2007,1,"Lust, Caution",-
2007,2,Night at the Museum,-
2007,3,Transformers,-
2007,4,Spider-Man 3,-
2007,5,Pirates of the Caribbean: At World's End,-
2007,6,I Am Legend,-
2007,7,Harry Potter and the Order of the Phoenix,-
2007,8,Ghost Rider,-
2007,9,National Treasure: Book of Secrets,-
2007,10,The Bourne Ultimatum,-
2008,1,Cape No. 7,-
2008,2,The Mummy: Tomb of the Dragon Emperor,-
2008,3,The Dark Knight,-
2008,4,CJ7,-
2008,5,Red Cliff,-
2008,6,Iron Man,-
2008,7,Kung Fu Panda,-
2008,8,Indiana Jones and the Kingdom of the Crystal Skull,-
2008,9,Hancock,-
2008,10,Wanted,-
2009,1,2012,-
2009,2,Transformers: Revenge of the Fallen,-
2009,3,Avatar,-
2009,4,Angels & Demons,-
2009,5,Red Cliff II,-
2009,6,Terminator Salvation,-
2009,7,Yes Man,-
2009,8,Up,-
2009,9,Harry Potter and the Half-Blood Prince,-
2009,10,The Curious Case of Benjamin Button,-
2010,1,Avatar,-
2010,2,Resident Evil: Afterlife,-
2010,3,Inception,-
2010,4,Iron Man 2,-
2010,5,Monga,-
2010,6,Salt,-
2010,7,Harry Potter and the Deathly Hallows: Part 1,-
2010,8,Toy Story 3,-
2010,9,Alice in Wonderland,-
2010,10,The Tourist,-
2011,1,Transformers: Dark of the Moon,-
2011,2,You Are the Apple of My Eye,-
2011,3,Harry Potter and the Deathly Hallows: Part 2,-
2011,4,Fast Five,-
2011,5,Pirates of the Caribbean: On Stranger Tides,-
2011,6,Rise of the Planet of the Apes,-
2011,7,Captain America: The First Avenger,-
2011,8,Thor,-
2011,9,Final Destination 5,-
2011,10,The Green Hornet,-
2014,1,Interstellar,-
2014,2,The Hunger Games: Mockingjay - Part 1,-
2014,3,The Hobbit: The Battle of the Five Armies,-
2014,4,Exodus: Gods and Kings,-
2014,5,Night at the Museum: Secret of the Tomb,-
2014,6,Fury,-
2014,7,John Wick,-
2014,8,Ouija,-
2014,9,Dream Flight,-
2014,10,Horrible Bosses 2,-
2015,1,Jurassic World,-
2015,2,Furious 7,-
2015,3,Avengers: Age of Ultron,-
2015,4,Our Times,-
2015,5,Mission: Impossible - Rogue Nation,-
2015,6,Ant-Man,-
2015,7,Minions,-
2015,8,Kingsman: The Secret Service,-
2015,9,San Andreas,-
2015,10,The Intern,-
2016,1,Deadpool,-
2016,2,Suicide Squad,-
2016,3,Doctor Strange,-
2016,4,Zootopia,-
2016,5,Now You See Me 2,-
2016,6,Independence Day: Resurgence,-
2016,7,The Secret Life of Pets,-
2016,8,Ip Man 3,-
2016,9,Finding Dory,-
2016,10,Jason Bourne,-
2017,1,The Fate of the Furious,-
2017,2,Kingsman: The Golden Circle,-
2017,3,Thor: Ragnarok,-
2017,4,Spider-Man: Homecoming,-
2017,5,The Mummy,-
2017,6,Kong: Skull Island,-
2017,7,Beauty and the Beast,-
2017,8,Resident Evil: The Final Chapter,-
2017,9,Logan,-
2017,10,Pirates of the Caribbean: Dead Men Tell No Tales,-
2018,1,Avengers: Infinity War,-
2018,2,Jurassic World: Fallen Kingdom,-
2018,3,Mission: Impossible - Fallout,-
2018,4,Black Panther,-
2018,5,Ant-Man and the Wasp,-
2018,6,Deadpool 2,-
2018,7,Aquaman,-
2018,8,Incredibles 2,-
2018,9,Venom,-
2018,10,Red Sparrow,-
2019,1,Avengers: Endgame,-
2019,2,Captain Marvel,-
2019,3,Fast & Furious Presents: Hobbs & Shaw,-
2019,4,Frozen II,-
2019,5,Spider-Man: Far from Home,-
2019,6,The Lion King,-
2019,7,Toy Story 4,-
2019,8,Aladdin,-
2019,9,Alita: Battle Angel,-
2019,10,Jumanji: The Next Level,-
2020,1,Tenet,-
2020,2,Wonder Woman 1984,-
2020,3,Bad Boys for Life,-
2020,4,Birds of Prey and the Fantabulous Emancipation of One Harley Quinn,-
2020,5,Mulan,-
2020,6,1917,-
2020,7,Monster Hunter,-
2020,8,Soul,-
2020,9,The Witches,-
2020,10,Spies in Disguise,-
2021,1,Eternals,-
2021,2,Dune: Part One,-
2021,3,Soul,-
2021,4,Shang-Chi and the Legend of the Ten Rings,-
2021,5,F9: The Fast Saga,-
2021,6,Spider-Man: No Way Home,-
2021,7,Free Guy,-
2021,8,Raya and the Last Dragon,-
2021,9,Black Widow,-
2021,10,Wonder Woman 1984,-
2022,1,Top Gun: Maverick,-
2022,2,Avatar: The Way of Water,-
2022,3,Jurassic World Dominion,-
2022,4,Doctor Strange in the Multiverse of Madness,-
2022,5,Black Panther: Wakanda Forever,-
2022,6,Thor: Love and Thunder,-
2022,7,The King's Man,-
2022,8,Minions: The Rise of Gru,-
2022,9,Lightyear,-
2022,10,Death on the Nile,-
2023,1,Fast X,-
2023,2,Avatar: The Way of Water,-
2023,3,The Super Mario Bros. Movie,-
2023,4,John Wick: Chapter 4,-
2023,5,Mission: Impossible - Dead Reckoning Part One,-
2023,6,Oppenheimer,-
2023,7,Guardians of the Galaxy Vol. 3,-
2023,8,Aquaman and the Lost Kingdom,-
2023,9,The Flash,-
2023,10,Ant-Man and the Wasp: Quantumania,-
2024,1,Inside Out 2,-
2024,2,Deadpool & Wolverine,-
2024,3,Godzilla x Kong: The New Empire,-
2024,4,Dune: Part Two,-
2024,5,Alien: Romulus,-
2024,6,Moana 2,-
2024,7,Kingdom of the Planet of the Apes,-
2024,8,Despicable Me 4,-
2024,9,Twisters,-
2024,10,Poor Things,-
