Year,USA,WORLD,CHINA,TAIWAN
2002,Spider-Man,The Lord of the Rings: The Two Towers,Star Wars: Episode II - Attack of the Clones,Harry Potter and the Chamber of Secrets
2002,Star Wars: Episode II - Attack of the Clones,Harry Potter and the Chamber of Secrets,E.T. the Extra-Terrestrial20th Anniversary,Ice Age
2002,Harry Potter and the Chamber of Secrets,Spider-Man,The Lord of the Rings: The Fellowship of the Ring,The Lord of the Rings: The Fellowship of the Ring
2002,Signs,Star Wars: Episode II - Attack of the Clones,The Bourne Identity,Spider-Man
2002,My Big Fat Greek Wedding,Men in Black II,Ice Age,Minority Report
2002,The Lord of the Rings: The Two Towers,Die Another Day,Spider-Man,The Lord of the Rings: The Two Towers
2002,Austin Powers in Goldmember,Signs,,The Bourne Identity
2002,Men in Black II,Ice Age,,Red Dragon
2002,Ice Age,My Big Fat Greek Wedding,,The Scorpion King
2002,A Beautiful Mind,Minority Report,,Star Wars: Episode II - Attack of the Clones
2003,Finding Nemo,The Lord of the Rings: The Return of the King,The Italian Job,The Lord of the Rings: The Two Towers
2003,Pirates of the Caribbean: The Curse of the Black Pearl,Finding Nemo,The Core,Hero
2003,The Matrix Reloaded,The Matrix Reloaded,Catch Me If You Can,Hulk
2003,The Lord of the Rings: The Return of the King,Pirates of the Caribbean: The Curse of the Black Pearl,X2: X-Men United,Catch Me If You Can
2003,Bruce Almighty,Bruce Almighty,Freddy vs. Jason,The Matrix Reloaded
2003,X2: X-Men United,The Last Samurai,Hulk,Die Another Day
2003,Elf,Terminator 3: Rise of the Machines,Johnny English,Lara Croft: Tomb Raider - The Cradle of Life
2003,Chicago,The Matrix Revolutions,,Bruce Almighty
2003,Terminator 3: Rise of the Machines,X2: X-Men United,,2 Fast 2 Furious
2003,Bad Boys II,Bad Boys II,,Tears of the Sun
2004,Shrek 2,Shrek 2,The Lord of the Rings: The Return of the King,Spider-Man 2
2004,Spider-Man 2,Harry Potter and the Prisoner of Azkaban,House of Flying Daggers,"I, Robot"
2004,The Passion of the Christ,Spider-Man 2,The Day After Tomorrow,The Incredibles
2004,Harry Potter and the Prisoner of Azkaban,The Incredibles,Spider-Man 2,Kung Fu Hustle
2004,The Incredibles,The Passion of the Christ,Troy,Shark Tale
2004,The Day After Tomorrow,The Day After Tomorrow,Garfield: The Movie,National Treasure
2004,The Bourne Supremacy,Meet the Fockers,Harry Potter and the Prisoner of Azkaban,The Terminal
2004,Shark Tale,Troy,Master and Commander: The Far Side of the World,Harry Potter and the Prisoner of Azkaban
2004,The Polar Express,Shark Tale,"I, Robot",Shrek 2
2004,National Treasure,Ocean's Twelve,The Passion of the Christ,Alien vs. Predator
2005,Star Wars: Episode III - Revenge of the Sith,Harry Potter and the Goblet of Fire,Star Wars: Episode III - Revenge of the Sith,War of the Worlds
2005,Harry Potter and the Goblet of Fire,Star Wars: Episode III - Revenge of the Sith,Mr. & Mrs. Smith,Constantine
2005,War of the Worlds,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Harry Potter and the Goblet of Fire,Harry Potter and the Goblet of Fire
2005,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",War of the Worlds,The Legend of Zorro,Madagascar
2005,Wedding Crashers,King Kong,Madagascar,Kung Fu Hustle
2005,Charlie and the Chocolate Factory,Madagascar,Anacondas: The Hunt for the Blood Orchid,Mr. & Mrs. Smith
2005,Batman Begins,Mr. & Mrs. Smith,War of the Worlds,Star Wars: Episode III - Revenge of the Sith
2005,Madagascar,Charlie and the Chocolate Factory,Taxi2004 Re-release,Kingdom of Heaven
2005,Mr. & Mrs. Smith,Batman Begins,Shark Tale,Howl's Moving Castle
2005,Hitch,Hitch,Batman Begins,Meet the Fockers
2006,Pirates of the Caribbean: Dead Man's Chest,Pirates of the Caribbean: Dead Man's Chest,Curse of the Golden Flower,Mission: Impossible III
2006,Cars,The Da Vinci Code,The Banquet,The Da Vinci Code
2006,X-Men: The Last Stand,Ice Age 2: The Meltdown,The Da Vinci Code,King Kong
2006,The Da Vinci Code,Casino Royale,Fearless,Click
2006,Superman Returns,Night at the Museum,King Kong,Pirates of the Caribbean: Dead Man's Chest
2006,Ice Age 2: The Meltdown,Cars,Mission: Impossible III,Ice Age 2: The Meltdown
2006,Happy Feet,X-Men: The Last Stand,Poseidon,Final Destination 3
2006,Over the Hedge,Mission: Impossible III,Superman Returns,Casino Royale
2006,Casino Royale,Superman Returns,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",X-Men: The Last Stand
2006,Talladega Nights: The Ballad of Ricky Bobby,Happy Feet,Garfield: A Tail of Two Kitties,Fun with Dick and Jane
2007,Spider-Man 3,Pirates of the Caribbean: At World's End,Transformers,"Lust, Caution"
2007,Shrek the Third,Harry Potter and the Order of the Phoenix,Harry Potter and the Order of the Phoenix,Night at the Museum
2007,Transformers,Spider-Man 3,Spider-Man 3,Transformers
2007,Pirates of the Caribbean: At World's End,Shrek the Third,The Warlords,Spider-Man 3
2007,Harry Potter and the Order of the Phoenix,Transformers,"Lust, Caution",Pirates of the Caribbean: At World's End
2007,The Bourne Ultimatum,Ratatouille,Pirates of the Caribbean: At World's End,I Am Legend
2007,300,I Am Legend,Casino Royale,Harry Potter and the Order of the Phoenix
2007,Ratatouille,The Simpsons Movie,Assembly,Ghost Rider
2007,I Am Legend,National Treasure: Book of Secrets,Night at the Museum,National Treasure: Book of Secrets
2007,The Simpsons Movie,300,Protégé,The Bourne Ultimatum
2008,The Dark Knight,The Dark Knight,Red Cliff,Cape No. 7
2008,Iron Man,Indiana Jones and the Kingdom of the Crystal Skull,Painted Skin,The Mummy: Tomb of the Dragon Emperor
2008,Indiana Jones and the Kingdom of the Crystal Skull,Kung Fu Panda,If You Are the One,The Dark Knight
2008,Hancock,Hancock,The Forbidden Kingdom,CJ7
2008,WALL·E,Mamma Mia!,CJ7,Red Cliff
2008,Kung Fu Panda,Madagascar: Escape 2 Africa,Kung Fu Panda,Iron Man
2008,Madagascar: Escape 2 Africa,Quantum of Solace,Quantum of Solace,Kung Fu Panda
2008,Twilight,Iron Man,Assembly,Indiana Jones and the Kingdom of the Crystal Skull
2008,Quantum of Solace,WALL·E,The Mummy: Tomb of the Dragon Emperor,Hancock
2008,Horton Hears a Who!,The Chronicles of Narnia: Prince Caspian,Kung Fu Dunk,Wanted
2009,Transformers: Revenge of the Fallen,Avatar,Transformers: Revenge of the Fallen,2012
2009,Harry Potter and the Half-Blood Prince,Harry Potter and the Half-Blood Prince,Red Cliff II,Transformers: Revenge of the Fallen
2009,Up,Ice Age: Dawn of the Dinosaurs,If You Are the One,Avatar
2009,The Twilight Saga: New Moon,Transformers: Revenge of the Fallen,Crazy Racer,Angels & Demons
2009,Avatar,2012,Look for a Star,Red Cliff II
2009,The Hangover,Up,Pleasant Goat and Big Big Wolf,Terminator Salvation
2009,Star Trek,The Twilight Saga: New Moon,Star Trek,Yes Man
2009,Monsters vs. Aliens,Sherlock Holmes,Transporter 3,Up
2009,Ice Age: Dawn of the Dinosaurs,Angels & Demons,Valkyrie,Harry Potter and the Half-Blood Prince
2009,The Blind Side,The Hangover,Dragonball Evolution,The Curious Case of Benjamin Button
2010,Avatar,Toy Story 3,Avatar,Avatar
2010,Toy Story 3,Alice in Wonderland,Aftershock,Resident Evil: Afterlife
2010,Alice in Wonderland,Harry Potter and the Deathly Hallows: Part 1,Inception,Inception
2010,Iron Man 2,Inception,Let the Bullets Fly,Iron Man 2
2010,The Twilight Saga: Eclipse,Shrek Forever After,Detective Dee: The Mystery of the Phantom Flame,Monga
2010,Inception,The Twilight Saga: Eclipse,If You Are the One 2,Salt
2010,Harry Potter and the Deathly Hallows: Part 1,Iron Man 2,Harry Potter and the Deathly Hallows: Part 1,Harry Potter and the Deathly Hallows: Part 1
2010,Despicable Me,Tangled,The Expendables,Toy Story 3
2010,Shrek Forever After,Despicable Me,Sacrifice,Alice in Wonderland
2010,How to Train Your Dragon,How to Train Your Dragon,Just Call Me Nobody,The Tourist
2011,Harry Potter and the Deathly Hallows: Part 2,Harry Potter and the Deathly Hallows: Part 2,Transformers: Dark of the Moon,Transformers: Dark of the Moon
2011,Transformers: Dark of the Moon,Transformers: Dark of the Moon,Kung Fu Panda 2,You Are the Apple of My Eye
2011,The Twilight Saga: Breaking Dawn - Part 1,Pirates of the Caribbean: On Stranger Tides,Pirates of the Caribbean: On Stranger Tides,Harry Potter and the Deathly Hallows: Part 2
2011,The Hangover Part II,The Twilight Saga: Breaking Dawn - Part 1,Harry Potter and the Deathly Hallows: Part 2,Fast Five
2011,Pirates of the Caribbean: On Stranger Tides,Mission: Impossible - Ghost Protocol,Beginning of the Great Revival,Pirates of the Caribbean: On Stranger Tides
2011,Fast Five,Kung Fu Panda 2,Let the Bullets Fly,Rise of the Planet of the Apes
2011,Cars 2,Fast Five,If You Are the One 2,Captain America: The First Avenger
2011,Thor,The Hangover Part II,Shaolin,Thor
2011,Rise of the Planet of the Apes,The Smurfs,Rise of the Planet of the Apes,Final Destination 5
2011,Captain America: The First Avenger,Cars 2,Eternal Moment,The Green Hornet
2012,The Avengers,The Avengers,Titanic2012 3D Release,
2012,The Dark Knight Rises,Skyfall,Mission: Impossible - Ghost Protocol,
2012,The Hunger Games,The Dark Knight Rises,Life of Pi,
2012,Skyfall,The Hobbit: An Unexpected Journey,The Avengers,
2012,The Twilight Saga: Breaking Dawn - Part 2,Ice Age: Continental Drift,Men in Black³,
2012,The Amazing Spider-Man,The Twilight Saga: Breaking Dawn - Part 2,Ice Age: Continental Drift,
2012,Brave,The Amazing Spider-Man,The Dark Knight Rises,
2012,The Hobbit: An Unexpected Journey,Madagascar 3: Europe's Most Wanted,The Amazing Spider-Man,
2012,Ted,The Hunger Games,Battleship,
2012,Madagascar 3: Europe's Most Wanted,Men in Black³,Journey 2: The Mysterious Island,
2013,Iron Man 3,Frozen,Journey to the West: Conquering the Demons,
2013,The Hunger Games: Catching Fire,Iron Man 3,Iron Man 3,
2013,Despicable Me 2,Despicable Me 2,So Young,
2013,Man of Steel,The Hobbit: The Desolation of Smaug,Pacific Rim,
2013,Monsters University,The Hunger Games: Catching Fire,Young Detective Dee: Rise of the Sea Dragon,
2013,Frozen,Fast & Furious 6,Personal Tailor,
2013,Gravity,Monsters University,American Dreams in China,
2013,Fast & Furious 6,Gravity,Finding Mr. Right,
2013,Oz the Great and Powerful,Man of Steel,Tiny Times,
2013,Star Trek Into Darkness,Thor: The Dark World,Gravity,
2014,Guardians of the Galaxy,Transformers: Age of Extinction,Transformers: Age of Extinction,Interstellar
2014,The Hunger Games: Mockingjay - Part 1,The Hobbit: The Battle of the Five Armies,Breakup Buddies,The Hunger Games: Mockingjay - Part 1
2014,Captain America: The Winter Soldier,Guardians of the Galaxy,The Monkey King: Havoc in Heaven's Palace,The Hobbit: The Battle of the Five Armies
2014,The Lego Movie,Maleficent,Interstellar,Exodus: Gods and Kings
2014,Transformers: Age of Extinction,The Hunger Games: Mockingjay - Part 1,X-Men: Days of Future Past,Night at the Museum: Secret of the Tomb
2014,Maleficent,X-Men: Days of Future Past,Captain America: The Winter Soldier,Fury
2014,X-Men: Days of Future Past,Captain America: The Winter Soldier,"Dad, Where Are We Going?",John Wick
2014,Dawn of the Planet of the Apes,Dawn of the Planet of the Apes,Dawn of the Planet of the Apes,Ouija
2014,Big Hero 6,The Amazing Spider-Man 2,The Breakup Guru,Dream Flight
2014,The Amazing Spider-Man 2,Interstellar,The Continent,Horrible Bosses 2
2015,Jurassic World,Star Wars: Episode VII - The Force Awakens,Furious 7,Jurassic World
2015,Star Wars: Episode VII - The Force Awakens,Jurassic World,Monster Hunt,Furious 7
2015,Avengers: Age of Ultron,Furious 7,Lost in Hong Kong,Avengers: Age of Ultron
2015,Inside Out,Avengers: Age of Ultron,Avengers: Age of Ultron,Our Times
2015,Furious 7,Minions,Jurassic World,Mission: Impossible - Rogue Nation
2015,American Sniper,Spectre,Goodbye Mr. Loser,Ant-Man
2015,Minions,Inside Out,Mojin: The Lost Legend,Minions
2015,The Hunger Games: Mockingjay - Part 2,Mission: Impossible - Rogue Nation,Jian Bing Man,Kingsman: The Secret Service
2015,The Martian,The Hunger Games: Mockingjay - Part 2,From Vegas to Macau II,San Andreas
2015,Cinderella,The Martian,Monkey King: Hero Is Back,The Intern
