Year,Rank,Title,Studio,Domestic Gross
1977,1,Star Wars: Episode IV - A New Hope,-,-
1977,2,The Deep,-,-
1977,3,The Spy Who Loved Me,-,-
1977,4,"Oh, God!",-,-
1977,5,Exorcist II: The Heretic,-,-
1977,6,The Turning Point,-,-
1977,7,Looking for Mr. Goodbar,-,-
1977,8,Saturday Night Fever,-,-
1977,9,Close Encounters of the Third Kind,-,-
1978,1,Grease,-,-
1978,2,National Lampoon's Animal House,-,-
1978,3,Close Encounters of the Third Kind,-,-
1978,4,Every Which Way But Loose,-,-
1978,5,Heaven Can Wait,-,-
1978,6,Jaws 2,-,-
1978,7,Saturday Night Fever,-,-
1978,8,Star Wars: Episode IV - A New Hope,-,-
1978,9,Superman,-,-
1978,10,The Lord of the Rings,-,-
1979,1,Superman,-,-
1979,2,The Amityville Horror,-,-
1979,3,Rocky II,-,-
1979,4,Star Trek: The Motion Picture,-,-
1979,5,Alien,-,-
1979,6,Apocalypse Now,-,-
1979,7,10,-,-
1979,8,The Jerk,-,-
1979,9,Moonraker,-,-
1979,10,Meatballs,-,-
1980,1,Star Wars: Episode V - The Empire Strikes Back,-,-
1980,2,9 to 5,-,-
1980,3,Stir Crazy,-,-
1980,4,Kramer vs. Kramer,-,-
1980,5,Any Which Way You Can,-,-
1980,6,Private Benjamin,-,-
1980,7,Coal Miner's Daughter,-,-
1980,8,Smokey and the Bandit II,-,-
1980,9,The Blues Brothers,-,-
1980,10,Ordinary People,-,-
1981,1,Superman II,-,-
1981,2,Stripes,-,-
1981,3,The Cannonball Run,-,-
1981,4,For Your Eyes Only,-,-
1981,5,The Four Seasons,-,-
1981,6,Excalibur,-,-
1981,7,History of the World: Part I,-,-
1981,8,Bustin' Loose,-,-
1981,9,The Great Muppet Caper,-,-
1981,10,Endless Love,-,-
1982,1,E.T. the Extra-Terrestrial,-,-
1982,2,Raiders of the Lost Ark,-,-
1982,3,Rocky III,-,-
1982,4,On Golden Pond,-,-
1982,5,An Officer and a Gentleman,-,-
1982,6,Porky's,-,-
1982,7,Arthur,-,-
1982,8,Star Trek II: The Wrath of Khan,-,-
1982,9,Poltergeist,-,-
