Year,Rank,Title,Worldwide Gross
1977,1,Star Wars: Episode IV - A New Hope,"$307,263,857"
1977,2,Smokey and the Bandit,"$126,748,082"
1977,3,Close Encounters of the Third Kind,"$116,396,241"
1977,4,Saturday Night Fever,"$94,214,336"
1977,5,A Bridge Too Far,"$50,750,000"
1977,6,The Deep,"$47,346,365"
1977,7,The Spy Who Loved Me,"$46,839,295"
1977,8,"Oh, God!","$41,687,243"
1977,9,Annie Hall,"$38,252,415"
1977,10,Semi-Tough,"$37,187,139"
1978,1,Grease,"$159,993,389"
1978,2,Superman,"$134,220,479"
1978,3,National Lampoon's Animal House,"$120,098,342"
1978,4,Every Which Way But Loose,"$85,196,485"
1978,5,Heaven Can Wait,"$81,640,278"
1978,6,Hooper,"$78,000,000"
1978,7,Jaws 2,"$77,737,272"
1978,8,Revenge of the Pink Panther,"$49,579,269"
1978,9,The Deer Hunter,"$48,994,473"
1978,10,Halloween,"$47,001,351"
1979,1,Kramer vs. Kramer,"$106,260,000"
1979,2,The Amityville Horror,"$86,432,000"
1979,3,Rocky II,"$85,182,160"
1979,4,Star Trek: The Motion Picture,"$82,258,612"
1979,5,Alien,"$78,999,751"
1979,6,Apocalypse Now,"$78,977,709"
1979,7,10,"$74,865,517"
1979,8,The Jerk,"$73,691,419"
1979,9,Moonraker,"$70,308,533"
1979,10,The Muppet Movie,"$65,848,400"
1980,1,Star Wars: Episode V - The Empire Strikes Back,"$209,398,025"
1980,2,9 to 5,"$103,290,500"
1980,3,Stir Crazy,"$101,300,000"
1980,4,Airplane!,"$83,455,109"
1980,5,Any Which Way You Can,"$70,687,344"
1980,6,Private Benjamin,"$69,847,348"
1980,7,Coal Miner's Daughter,"$67,182,787"
1980,8,Smokey and the Bandit II,"$66,132,626"
1980,9,The Blue Lagoon,"$58,853,243"
1980,10,The Blues Brothers,"$57,257,193"
1981,1,Superman II,"$216,385,706"
1981,2,Raiders of the Lost Ark,"$212,222,025"
1981,3,On Golden Pond,"$119,285,432"
1981,4,Arthur,"$95,461,682"
1981,5,Stripes,"$85,297,000"
1981,6,The Cannonball Run,"$72,179,579"
1981,7,Chariots of Fire,"$58,972,904"
1981,8,For Your Eyes Only,"$54,812,948"
1981,9,The Four Seasons,"$50,427,646"
1981,10,Time Bandits,"$42,365,581"
1982,1,E.T. the Extra-Terrestrial,"$359,202,488"
1982,2,Tootsie,"$177,200,000"
1982,3,An Officer and a Gentleman,"$129,795,554"
1982,4,Rocky III,"$124,146,897"
1982,5,Porky's,"$105,492,483"
1982,6,Star Trek II: The Wrath of Khan,"$78,913,882"
1982,7,48 Hrs.,"$78,868,508"
1982,8,Poltergeist,"$76,607,421"
1982,9,The Best Little Whorehouse in Texas,"$69,702,172"
1982,10,Annie,"$57,059,003"
1983,1,Star Wars: Episode VI - Return of the Jedi,"$252,601,637"
1983,2,Terms of Endearment,"$108,423,489"
1983,3,Flashdance,"$92,921,203"
1983,4,Trading Places,"$90,404,800"
1983,5,Superman III,"$80,250,623"
1983,6,WarGames,"$79,567,667"
1983,7,Octopussy,"$67,917,359"
1983,8,Sudden Impact,"$67,642,693"
1983,9,Staying Alive,"$64,893,329"
1983,10,Mr. Mom,"$64,783,827"
1984,1,Beverly Hills Cop,"$234,760,538"
1984,2,Ghostbusters,"$229,379,150"
1984,3,Indiana Jones and the Temple of Doom,"$179,877,399"
1984,4,Gremlins,"$159,693,766"
1984,5,The Karate Kid,"$90,828,635"
1984,6,Police Academy,"$81,198,894"
1984,7,Footloose,"$80,038,660"
1984,8,Romancing the Stone,"$76,574,298"
1984,9,Star Trek III: The Search for Spock,"$76,551,989"
1984,10,Splash,"$69,821,334"
1985,1,Out of Africa,"$225,526,205"
1985,2,Back to the Future,"$223,819,255"
1985,3,Rambo: First Blood Part II,"$150,415,432"
1985,4,Rocky IV,"$127,891,353"
1985,5,The Color Purple,"$94,175,854"
1985,6,Cocoon,"$76,113,124"
1985,7,The Jewel of the Nile,"$75,973,200"
1985,8,Witness,"$68,706,993"
1985,9,The Goonies,"$61,419,294"
1985,10,Spies Like Us,"$60,088,980"
1986,1,Top Gun,"$176,915,278"
1986,2,Crocodile Dundee,"$174,803,506"
1986,3,Platoon,"$138,545,632"
1986,4,The Karate Kid Part II,"$115,103,979"
1986,5,Star Trek IV: The Voyage Home,"$109,713,132"
1986,6,Back to School,"$91,258,000"
1986,7,Aliens,"$85,187,581"
1986,8,The Golden Child,"$79,817,937"
1986,9,Ruthless People,"$71,624,879"
1986,10,Ferris Bueller's Day Off,"$70,722,605"
1987,1,Three Men and a Baby,"$167,780,960"
1987,2,Fatal Attraction,"$156,645,756"
1987,3,Beverly Hills Cop II,"$153,665,036"
1987,4,"Good Morning, Vietnam","$123,922,578"
1987,5,Moonstruck,"$80,643,047"
1987,6,The Untouchables,"$76,270,454"
1987,7,The Secret of My Success,"$66,995,879"
1987,8,Stakeout,"$65,673,233"
1987,9,Lethal Weapon,"$65,207,187"
1987,10,The Witches of Eastwick,"$63,766,510"
1988,1,Who Framed Roger Rabbit,"$238,093,220"
1988,2,Rain Man,"$172,835,580"
1988,3,Coming to America,"$128,152,333"
1988,4,Big,"$114,968,970"
1988,5,Twins,"$111,938,388"
1988,6,Crocodile Dundee II,"$109,306,210"
1988,7,Die Hard,"$83,067,847"
1988,8,The Naked Gun: From the Files of Police Squad!,"$78,756,177"
1988,9,Cocktail,"$78,222,753"
1988,10,Beetlejuice,"$73,719,756"
1989,1,Batman,"$401,188,924"
1989,2,Indiana Jones and the Last Crusade,"$197,171,806"
1989,3,Dead Poets Society,"$175,480,949"
1989,4,Lethal Weapon 2,"$147,253,986"
1989,5,Look Who's Talking,"$140,088,813"
1989,6,"Honey, I Shrunk the Kids","$130,724,599"
1989,7,Back to the Future Part II,"$118,911,489"
1989,8,Ghostbusters II,"$112,495,514"
1989,9,Driving Miss Daisy,"$106,593,296"
1989,10,Parenthood,"$100,047,830"
1990,1,Home Alone,"$290,084,159"
1990,2,Ghost,"$217,632,241"
1990,3,Dances with Wolves,"$184,208,848"
1990,4,Pretty Woman,"$178,467,892"
1990,5,Teenage Mutant Ninja Turtles,"$135,267,509"
1990,6,The Hunt for Red October,"$122,012,643"
1990,7,Total Recall,"$119,407,582"
1990,8,Die Hard 2,"$117,545,298"
1990,9,Dick Tracy,"$103,738,726"
1990,10,Kindergarten Cop,"$91,457,688"
1991,1,Beauty and the Beast,"$248,821,021"
1991,2,Terminator 2: Judgment Day,"$205,061,593"
1991,3,Robin Hood: Prince of Thieves,"$165,493,908"
1991,4,The Silence of the Lambs,"$130,873,652"
1991,5,City Slickers,"$124,033,791"
1991,6,Hook,"$119,655,099"
1991,7,The Addams Family,"$113,503,889"
1991,8,Sleeping with the Enemy,"$101,599,005"
1991,9,Father of the Bride,"$89,325,780"
1991,10,The Naked Gun 2½: The Smell of Fear,"$86,930,411"
1992,1,Aladdin,"$346,492,782"
1992,2,Batman Returns,"$266,831,698"
1992,3,Home Alone 2: Lost in New York,"$173,596,516"
1992,4,Lethal Weapon 3,"$144,731,527"
1992,5,A Few Good Men,"$141,354,048"
1992,6,Sister Act,"$139,607,519"
1992,7,The Bodyguard,"$121,945,720"
1992,8,Wayne's World,"$121,697,862"
1992,9,Basic Instinct,"$117,727,224"
1992,10,A League of Their Own,"$107,535,154"
1993,1,Jurassic Park,"$978,167,947"
1993,2,Mrs. Doubtfire,"$219,196,147"
1993,3,The Fugitive,"$183,875,799"
1993,4,The Firm,"$158,348,367"
1993,5,Sleepless in Seattle,"$126,760,065"
1993,6,Indecent Proposal,"$106,614,059"
1993,7,In the Line of Fire,"$102,314,823"
1993,8,The Pelican Brief,"$100,768,056"
1993,9,Schindler's List,"$96,065,768"
1993,10,Cliffhanger,"$84,049,211"
1994,1,The Lion King,"$771,055,561"
1994,2,Forrest Gump,"$329,833,871"
1994,3,True Lies,"$146,283,741"
1994,4,The Santa Clause,"$144,833,964"
1994,5,The Flintstones,"$130,531,208"
1994,6,Dumb and Dumber,"$127,176,610"
1994,7,Clear and Present Danger,"$122,187,717"
1994,8,Speed,"$121,249,797"
1994,9,The Mask,"$119,954,466"
1994,10,Pulp Fiction,"$108,069,037"
1995,1,Seven,"$327,225,643"
1995,2,Toy Story,"$244,662,497"
1995,3,Apollo 13,"$223,837,411"
1995,4,Batman Forever,"$184,032,778"
1995,5,Pocahontas,"$141,579,773"
1995,6,Ace Ventura: When Nature Calls,"$108,385,533"
1995,7,GoldenEye,"$106,430,619"
1995,8,Casper,"$100,544,179"
1995,9,Jumanji,"$100,476,482"
1995,10,Die Hard with a Vengeance,"$100,012,499"
1996,1,Independence Day,"$306,172,558"
1996,2,Twister,"$241,721,524"
1996,3,Mission: Impossible,"$180,981,856"
1996,4,Jerry Maguire,"$153,952,627"
1996,5,Ransom,"$136,492,681"
1996,6,101 Dalmatians,"$136,189,294"
1996,7,The Rock,"$134,069,511"
1996,8,The Nutty Professor,"$128,814,019"
1996,9,The Birdcage,"$124,061,638"
1996,10,A Time to Kill,"$108,766,007"
1997,1,Titanic,"$1,843,373,318"
1997,2,Bean,"$251,212,670"
1997,3,Men in Black,"$250,690,539"
1997,4,Batman & Robin,"$238,225,195"
1997,5,The Lost World: Jurassic Park,"$229,086,679"
1997,6,Liar Liar,"$181,410,615"
1997,7,Air Force One,"$172,956,409"
1997,8,Speed 2: Cruise Control,"$164,508,066"
1997,9,Star Wars: Episode IV - A New Hope 1997 Special Edition,"$160,703,600"
1997,10,As Good as It Gets,"$148,478,011"
1998,1,Armageddon,"$553,709,788"
1998,2,Saving Private Ryan,"$481,840,909"
1998,3,Godzilla,"$379,014,294"
1998,4,There's Something About Mary,"$369,884,651"
1998,5,A Bug's Life,"$363,258,859"
1998,6,Mulan,"$304,320,254"
1998,7,Doctor Dolittle,"$294,456,605"
1998,8,Shakespeare in Love,"$289,317,794"
1998,9,Lethal Weapon 4,"$285,444,603"
1998,10,The Truman Show,"$264,118,201"
1999,1,Star Wars: Episode I - The Phantom Menace,"$924,305,084"
1999,2,The Sixth Sense,"$672,806,292"
1999,3,Toy Story 2,"$487,059,677"
1999,4,The Matrix,"$463,517,383"
1999,5,Tarzan,"$448,191,819"
1999,6,Notting Hill,"$363,889,678"
1999,7,American Beauty,"$356,296,601"
1999,8,Runaway Bride,"$309,460,292"
1999,9,Stuart Little,"$300,135,367"
1999,10,The Green Mile,"$286,801,374"
2000,1,Mission: Impossible II,"$546,388,108"
2000,2,Gladiator,"$460,583,960"
2000,3,Cast Away,"$429,632,142"
2000,4,What Women Want,"$374,111,707"
2000,5,Dinosaur,"$349,822,765"
2000,6,How the Grinch Stole Christmas,"$346,328,278"
2000,7,Meet the Parents,"$330,444,045"
2000,8,The Perfect Storm,"$328,718,434"
2000,9,X-Men,"$296,339,528"
2000,10,What Lies Beneath,"$291,420,351"
2001,1,Harry Potter and the Sorcerer's Stone,"$974,755,371"
2001,2,The Lord of the Rings: The Fellowship of the Ring,"$868,385,360"
2001,3,"Monsters, Inc.","$528,773,250"
2001,4,Shrek,"$484,944,448"
2001,5,Ocean's Eleven,"$450,717,150"
2001,6,Pearl Harbor,"$449,220,945"
2001,7,The Mummy Returns,"$433,013,274"
2001,8,Jurassic Park III,"$368,780,809"
2001,9,Planet of the Apes,"$362,211,740"
2001,10,Hannibal,"$351,692,268"
2002,1,The Lord of the Rings: The Two Towers,"$923,015,234"
2002,2,Harry Potter and the Chamber of Secrets,"$878,979,634"
2002,3,Spider-Man,"$821,708,551"
2002,4,Star Wars: Episode II - Attack of the Clones,"$645,256,452"
2002,5,Men in Black II,"$441,818,803"
2002,6,Die Another Day,"$431,971,116"
2002,7,Signs,"$408,247,917"
2002,8,Ice Age,"$383,257,136"
2002,9,My Big Fat Greek Wedding,"$368,744,044"
