subtitle_filename,cleaned_name,matched_title,score
2017_Logan,2017_Logan,Logan,100.0
1979_10,1979_10,10,100.0
1983_Tootsie,1983_Tootsie,Tootsie,100.0
2017_It,2017_It,It,100.0
1981_Excalibur,1981_Excalibur,Excalibur,100.0
1986_Top Gun,1986_Top Gun,Top Gun,100.0
1996_Ransom_EN,1996_Ransom,Ransom,100.0
1996_The First Wives Club,1996_The First Wives Club,The First Wives Club,100.0
1980_Stir Crazy,1980_Stir Crazy,Stir Crazy,100.0
2016_Deadpool,2016_Deadpool,Deadpool,100.0
2004_Shark Tale.en,2004_Shark Tale,Shark Tale,100.0
1998_Godzilla,1998_Godzilla,Godzilla,100.0
2018_Deadpool 2,2018_Deadpool 2,Deadpool 2,100.0
2020_1917,2020_1917,1917,100.0
1990_Driving Miss Daisy,1990_Driving Miss Daisy,Driving Miss Daisy,100.0
1985_Witness,1985_Witness,Witness,100.0
1985_Rocky IV,1985_Rocky IV,Rocky IV,100.0
2015_Jurassic World,2015_Jurassic World,Jurassic World,100.0
1997_Liar Liar,1997_Liar Liar,Liar Liar,100.0
1979_Rocky II,1979_Rocky II,Rocky II,100.0
1995_Toy Story,1995_Toy Story,Toy Story,100.0
1988_Cocktail_Eng,1988_Cocktail,Cocktail,100.0
1990_Ghost,1990_Ghost,Ghost,100.0
2007_300.eng,2007_300,300,100.0
2001_Shrek,2001_Shrek,Shrek,100.0
1995_Waterworld.en,1995_Waterworld,Waterworld,100.0
1978_Grease,1978_Grease,Grease,100.0
2011_Thor,2011_Thor,Thor,100.0
2013_Monsters University,2013_Monsters University,Monsters University,100.0
1982_Rocky III,1982_Rocky III,Rocky III,100.0
1992_Home Alone 2_ Lost in New York,1992_Home Alone 2 Lost in New York,Home Alone 2: Lost in New York,98.30508474576273
2022_Jurassic World_ Dominion,2022_Jurassic World Dominion,Jurassic World: Dominion,97.87234042553192
1988_Good Morning Vietnam,1988_Good Morning Vietnam,"Good Morning, Vietnam",97.5609756097561
1979_Star Trek - The Motion Picture,1979_Star Trek - The Motion Picture,Star Trek: The Motion Picture,94.91525423728814
1999_Star Wars Episode I The Phantom Menace eng,1999_Star Wars Episode I The Phantom Mace,Star Wars: Episode I - The Phantom Menace,93.5064935064935
2014_The.Hunger.Games.Mockingjay.Part.1.2014.720p.BluRay.x264-SPARKS,2014_The Hunger Games Mockingjay Part 1 2014 -,The Hunger Games: Mockingjay - Part 1,92.3076923076923
1982_Porkys,1982_Porkys,Porky's,92.3076923076923
