subtitle_filename,year,formal_institutions_incl_military,formal_institutions_incl_military_confidence,formal_institutions_excl_military,formal_institutions_excl_military_confidence,military_institutions,military_institutions_confidence,informal_cultural_norms,informal_cultural_norms_confidence,informal_relationships,informal_relationships_confidence,informal_overall,informal_overall_confidence
2015_Minions.2015.720p.BluRay.x264-GECKOS,2015,0.386,0.7,0.329,0.7,0.5,0.65,0.59,0.683,0.718,0.817,0.638,0.783
1999_big. daddy. 1999. 720p. bluray. x264-amiable. EN,1999,0.5,0.608,0.49,0.608,0.51,0.608,0.651,0.75,0.769,0.867,0.713,0.808
2023_Guardians.of.the.Galaxy.Vol.3.2023.1080p.WEB-DL.DDP5.1.Atmos.H.264-CMRG (v2),2023,0.28,0.8,0.2,0.79,0.419,0.72,0.571,0.7,0.682,0.8,0.599,0.79
2009_The.Blind.Side.2009.720p.BluRay.x264.YIFY.eng,2009,0.59,0.713,0.544,0.7,0.641,0.68,0.707,0.807,0.807,0.9,0.792,0.883
1998_Rush Hour 1,1998,0.372,0.75,0.286,0.74,0.521,0.68,0.582,0.68,0.668,0.76,0.589,0.75
1991_Home.Alone.1990.1080p.BluRay.x264-HD1080.ENG,1991,0.5,0.6,0.5,0.6,0.5,0.6,0.681,0.775,0.777,0.875,0.709,0.806
1983_Tootsie,1983,0.517,0.613,0.509,0.613,0.526,0.613,0.645,0.733,0.633,0.72,0.639,0.727
2001_Jurassic.Park.III[2001]DvDrip-aXXo,2001,0.386,0.7,0.332,0.683,0.5,0.65,0.555,0.667,0.647,0.75,0.593,0.733
2022_Black.Panther.Wakanda.Forever.2022.1080p.BluRay.x264.DTS-HD.MA.7.1-MT,2022,0.328,0.775,0.235,0.767,0.48,0.717,0.618,0.733,0.709,0.817,0.63,0.796
1992_waynes.world.1992.DVDRip.XviD.FBM.ENG,1992,0.5,0.589,0.5,0.589,0.5,0.589,0.556,0.633,0.691,0.767,0.621,0.7
1981_Stripes.1981.720p.BluRay.x264-CiNEFiLE,1981,0.551,0.718,0.461,0.691,0.639,0.791,0.584,0.682,0.705,0.782,0.649,0.773
2015_Avengers.Age.of.Ultron.2015.720p.BluRay.x264-SPARKS,2015,0.375,0.738,0.3,0.738,0.509,0.677,0.523,0.677,0.665,0.785,0.57,0.762
2010_dmd-ts3,2010,0.452,0.66,0.427,0.66,0.5,0.62,0.69,0.81,0.79,0.9,0.741,0.85
1999_[HDteam] Austin.Powers.La.Espia.que.me.Achucho.1999.[1080p].[BluRay].[x264].[Dual].[Subs]-by Ruben,1999,0.5,0.6,0.5,0.6,0.5,0.6,0.5,0.6,0.555,0.644,0.525,0.622
2013_Oz.the.Great.and.Powerful.2013.720p.BluRay.x264-SPARKS,2013,0.475,0.63,0.451,0.63,0.502,0.63,0.573,0.66,0.617,0.7,0.588,0.685
1996_101,1996,0.4,0.686,0.339,0.7,0.516,0.629,0.664,0.757,0.774,0.871,0.711,0.814
2001_The.Mummy.Returns.2001.720p.Blu-ray.x264.AC3-CHD.ENG,2001,0.458,0.633,0.437,0.633,0.5,0.617,0.559,0.65,0.718,0.817,0.618,0.733
2000_Scary Movie 1 iNT DvD RiP- WaCkOs,2000,0.267,0.745,0.19,0.745,0.5,0.618,0.368,0.718,0.276,0.773,0.286,0.773
1995_Casper.1995.720p.BluRay.X264-AMIABLE,1995,0.372,0.714,0.308,0.714,0.5,0.657,0.637,0.743,0.746,0.843,0.699,0.821
2018_Black.Panther.2018.720p.BluRay.x264-SPARKS,2018,0.392,0.74,0.338,0.74,0.523,0.69,0.673,0.78,0.732,0.82,0.681,0.81
1977_Looking.For.Mr.Goodbar.ENG.PAL.en,1977,0.319,0.764,0.243,0.764,0.5,0.609,0.372,0.773,0.29,0.809,0.281,0.809
2016_Suicide.Squad.2016.EXTENDED.720p.BluRay.x264-SPARKS,2016,0.339,0.72,0.264,0.72,0.445,0.71,0.456,0.63,0.522,0.68,0.473,0.67
2017_Despicable. Me. 3. 2017. 720p. BluRay. X264-AMIABLE,2017,0.464,0.629,0.445,0.629,0.5,0.614,0.664,0.757,0.774,0.871,0.704,0.807
2003_The.Matrix.Reloaded.2003.720p.HDDVD.DTS.x264-ESiR.ENG,2003,0.321,0.76,0.247,0.76,0.436,0.72,0.573,0.67,0.691,0.79,0.596,0.77
2012_The.Hunger.Games.2012.720p.BluRay.x264.DTS-HDChina.eng,2012,0.321,0.725,0.279,0.725,0.39,0.725,0.54,0.662,0.624,0.725,0.556,0.712
1999_The Blair Witch Project.DVDRip.Occor,1999,0.375,0.711,0.313,0.711,0.5,0.656,0.374,0.778,0.327,0.778,0.311,0.789
1978_Superman.1978.Special.Edition.720p.BluRay.x264.DTS-WiKi.eng,1978,0.5,0.591,0.5,0.591,0.5,0.591,0.5,0.591,0.524,0.609,0.511,0.6
1991_The.Naked.Gun.2.1.2.The.Smell.of.Fear.1991.BluRay.720p.DTS.x264-beAst.eng,1991,0.306,0.775,0.216,0.775,0.487,0.688,0.589,0.688,0.681,0.775,0.597,0.775
1988_Big.1988.Extended.Edition.720p.BluRay.x264.YIFY.eng,1988,0.539,0.631,0.519,0.623,0.559,0.631,0.7,0.8,0.8,0.9,0.755,0.854
2023_Oppenheimer,2023,0.402,0.723,0.33,0.712,0.509,0.696,0.496,0.638,0.539,0.673,0.508,0.671
2024_Inside.Out.2,2024,0.5,0.6,0.5,0.6,0.5,0.6,0.696,0.783,0.792,0.883,0.744,0.833
1999_The.Matrix.1999.720p.HDDVD.DTS.x264-ESiR.ENG,1999,0.186,0.811,0.132,0.811,0.281,0.778,0.569,0.678,0.672,0.767,0.593,0.767
2025_A Complete Unknown,2025,0.453,0.637,0.429,0.637,0.492,0.625,0.682,0.794,0.654,0.762,0.67,0.781
2003_Finding.Nemo.720p.HDTV.DTS.x264-CtrlHD,2003,0.5,0.6,0.5,0.6,0.5,0.6,0.7,0.8,0.8,0.9,0.759,0.858
1989_ARG-LETHAL,1989,0.29,0.8,0.19,0.8,0.478,0.72,0.5,0.69,0.633,0.78,0.554,0.77
1979_Alien.1979.Directors.Cut.720p.BluRay.x264.DTS-WiKi.EN,1979,0.367,0.675,0.337,0.675,0.423,0.65,0.528,0.625,0.485,0.65,0.508,0.65
2006_Talladega.Nights.1080p.BluRay.WMV-HD.BD9-KOADIC.ENG,2006,0.485,0.611,0.478,0.611,0.5,0.606,0.659,0.75,0.733,0.833,0.683,0.783
2021_No.Time.to.Die.1080p.AMZN.WEB-DL.DDP5.1.H.264-CMRG,2021,0.3,0.8,0.2,0.8,0.49,0.709,0.482,0.691,0.637,0.791,0.541,0.782
1992_The Hand That Rocks the Cradle [1992],1992,0.25,0.8,0.175,0.8,0.5,0.6,0.347,0.738,0.295,0.812,0.273,0.8
2009_The.Twilight.Saga.New.Moon.2009.Bluray.1080p.DTSMA.x264.dxva-FraMeSToR.ENG,2009,0.5,0.6,0.5,0.6,0.5,0.6,0.7,0.8,0.769,0.867,0.717,0.817
2004_The.Incredibles.2004.720p.BluRay.X264-AMIABLE.eng,2004,0.236,0.8,0.155,0.8,0.39,0.727,0.625,0.727,0.739,0.845,0.666,0.791
1991_Teenage Mutant Ninja Turtles 2,1991,0.468,0.625,0.452,0.625,0.5,0.612,0.6,0.688,0.74,0.838,0.648,0.756
2003_Chicago.2002.PROPER.1080p.BluRay.x264-LCHD.ENG,2003,0.45,0.615,0.422,0.623,0.5,0.585,0.452,0.623,0.464,0.615,0.443,0.623
1991_Terminator.2.Judgement.Day.Directors.Cut.1991.1080p.HDDVD.DTS.x264-hV.ENG,1991,0.257,0.8,0.157,0.8,0.44,0.757,0.6,0.7,0.7,0.8,0.6,0.8
