year,formal_institutions_incl_military,formal_institutions_incl_military_confidence,formal_institutions_excl_military,formal_institutions_excl_military_confidence,military_institutions,military_institutions_confidence,informal_cultural_norms,informal_cultural_norms_confidence,informal_relationships,informal_relationships_confidence,informal_overall,informal_overall_confidence
1977,0.40788888888888886,0.7174444444444444,0.3592222222222222,0.7127777777777777,0.5064444444444445,0.6759999999999999,0.5343333333333333,0.7153333333333333,0.5623333333333334,0.759888888888889,0.5315555555555556,0.7508888888888889
1978,0.4478,0.64,0.4288,0.64,0.48579999999999995,0.6182,0.5408,0.6426000000000001,0.6368,0.754,0.5822,0.7066
1979,0.42566666666666664,0.6464444444444444,0.4043333333333333,0.6437777777777778,0.4603333333333333,0.6434444444444445,0.5266666666666667,0.6458888888888888,0.5682222222222222,0.6908888888888889,0.5422222222222222,0.6754444444444444
1980,0.42533333333333334,0.6713333333333333,0.3823333333333333,0.6752222222222222,0.49011111111111105,0.639888888888889,0.5595555555555556,0.6993333333333334,0.6023333333333334,0.781,0.5718888888888889,0.7443333333333333
1981,0.41769999999999996,0.6879,0.37170000000000003,0.6857,0.49960000000000004,0.6631,0.5545,0.6808,0.6174999999999999,0.7596,0.5808,0.7352000000000001
1982,0.4232222222222222,0.6966666666666667,0.3882222222222222,0.6917777777777778,0.5063333333333334,0.6677777777777778,0.5546666666666666,0.7122222222222222,0.6284444444444445,0.774,0.5838888888888889,0.7461111111111111
1983,0.4032,0.6822,0.36970000000000003,0.6808,0.4869,0.6443,0.5700000000000001,0.6936,0.6653,0.7767000000000001,0.6094,0.747
1984,0.3579,0.7319,0.2927,0.7359,0.48529999999999995,0.6775,0.5626,0.7307,0.6938,0.8217000000000001,0.623,0.792
1985,0.37,0.7088888888888889,0.3204444444444445,0.7133333333333334,0.481,0.6637777777777778,0.5872222222222222,0.7183333333333333,0.7052222222222223,0.8177777777777778,0.6293333333333333,0.7772222222222223
1986,0.4335,0.7018,0.3856,0.6976,0.5254,0.6632,0.5913999999999999,0.7531000000000001,0.686,0.8396000000000001,0.631,0.8047000000000001
1987,0.35550000000000004,0.7123,0.29169999999999996,0.7105,0.48410000000000003,0.6571,0.4822,0.6752,0.5444,0.7429,0.4957,0.7267
1988,0.4441111111111111,0.6638888888888889,0.4116666666666667,0.6596666666666667,0.49511111111111117,0.643,0.6298888888888888,0.731,0.7250000000000001,0.8244444444444444,0.6696666666666666,0.7915555555555556
1989,0.41980000000000006,0.6774,0.3816,0.6781,0.4911,0.642,0.5955999999999999,0.7232999999999999,0.6814,0.7958000000000001,0.6348,0.772
1990,0.43499999999999994,0.6695,0.3984,0.6685000000000001,0.4779,0.6667,0.5974,0.7129000000000001,0.6909,0.8018000000000001,0.6403000000000001,0.771
1991,0.3708888888888889,0.7086666666666667,0.326,0.7074444444444444,0.486,0.6613333333333333,0.5920000000000001,0.7544444444444445,0.6803333333333333,0.8414444444444444,0.6235555555555555,0.8122222222222223
1992,0.3685,0.7081999999999999,0.31920000000000004,0.7075,0.47750000000000004,0.6458,0.5284,0.7211000000000001,0.597,0.798,0.5429,0.7742
1993,0.35633333333333334,0.7093333333333334,0.30222222222222217,0.7068888888888889,0.4692222222222222,0.6563333333333333,0.5083333333333333,0.6973333333333334,0.5948888888888889,0.7655555555555555,0.5402222222222223,0.7438888888888889
1994,0.4618888888888889,0.6832222222222222,0.4241111111111111,0.6752222222222222,0.5297777777777778,0.6813333333333333,0.5736666666666667,0.6964444444444444,0.6632222222222223,0.7861111111111111,0.6181111111111111,0.7538888888888889
1995,0.3904444444444444,0.7445555555555556,0.33166666666666667,0.7336666666666667,0.4867777777777778,0.7162222222222222,0.5687777777777777,0.7143333333333334,0.6758888888888889,0.8001111111111112,0.6188888888888889,0.7758888888888889
1996,0.40549999999999997,0.6881999999999999,0.3626,0.6891,0.49800000000000005,0.6496000000000001,0.5561,0.7067,0.6178,0.7745,0.5799,0.7478
1997,0.45522222222222225,0.6913333333333332,0.4097777777777778,0.6839999999999999,0.534,0.6668888888888889,0.533,0.6702222222222223,0.6314444444444445,0.7516666666666666,0.5787777777777777,0.7215555555555555
1998,0.44177777777777777,0.667,0.40855555555555556,0.6646666666666667,0.5015555555555555,0.6522222222222223,0.5746666666666667,0.6759999999999999,0.6125555555555555,0.7506666666666667,0.5845555555555556,0.7275555555555555
1999,0.4226,0.6683,0.3928,0.6674,0.47729999999999995,0.6445000000000001,0.5993,0.7295,0.6786000000000001,0.8105,0.6275000000000001,0.7854
2000,0.4,0.6913,0.35409999999999997,0.6902,0.5014000000000001,0.6405000000000001,0.5355000000000001,0.6927,0.5882,0.7746000000000001,0.5454,0.7419
2001,0.4561,0.6692,0.4266,0.6602,0.5051,0.6578,0.6024,0.7050000000000001,0.6878,0.7954,0.636,0.7584
2002,0.4532,0.6593,0.42490000000000006,0.6581,0.5006999999999999,0.647,0.5769,0.6794,0.6683999999999999,0.7684,0.6158,0.7394000000000001
2003,0.37570000000000003,0.7116,0.3238,0.7096,0.45730000000000004,0.6878,0.5557000000000001,0.6805,0.6289,0.7499,0.5722,0.7336
2004,0.3867,0.7029,0.3367,0.7012,0.4824,0.658,0.6076,0.7221,0.7007,0.8051999999999999,0.6391,0.7771
2005,0.41609999999999997,0.6718,0.3877,0.6718,0.4765,0.6465,0.5216000000000001,0.6879,0.6115,0.7713,0.5577,0.7363999999999999
2006,0.4135,0.6862,0.3703,0.6862,0.4828,0.6618999999999999,0.5805,0.7034,0.683,0.8046,0.6229,0.7674000000000001
2007,0.34859999999999997,0.7215,0.29359999999999997,0.7203,0.4484,0.7015,0.5511,0.6756,0.62,0.7469,0.5625,0.7259
2008,0.3814,0.6949,0.3399,0.6949,0.4688,0.654,0.5296000000000001,0.696,0.6203000000000001,0.7502000000000001,0.5679000000000001,0.7346
2009,0.45830000000000004,0.6768,0.43129999999999996,0.6694,0.5094000000000001,0.6707,0.6134999999999999,0.7315,0.7078,0.8072000000000001,0.6529,0.7792
2010,0.42177777777777775,0.6813333333333333,0.3897777777777778,0.6787777777777778,0.47555555555555556,0.6563333333333333,0.5928888888888889,0.7097777777777777,0.6813333333333333,0.7857777777777778,0.6292222222222222,0.7527777777777778
2011,0.42933333333333334,0.713,0.3716666666666667,0.705,0.5174444444444445,0.6993333333333333,0.5782222222222222,0.6835555555555556,0.6638888888888889,0.7738888888888888,0.6068888888888888,0.7486666666666667
2012,0.43629999999999997,0.6806,0.409,0.6799,0.48719999999999997,0.6673,0.5725,0.7011000000000001,0.6721999999999999,0.7868999999999999,0.6151,0.7558
2013,0.4029,0.6935,0.3577,0.6928,0.4723,0.6768,0.5899,0.7007,0.6811,0.7861,0.6199,0.7578
2014,0.32989999999999997,0.7233,0.2798,0.7233,0.4064,0.7091000000000001,0.5711999999999999,0.6954,0.666,0.778,0.6003999999999999,0.7511
2015,0.4384,0.7268,0.37629999999999997,0.7142999999999999,0.5213,0.726,0.603,0.7138,0.696,0.8058,0.6368,0.7831
2016,0.3938888888888889,0.7064444444444445,0.34711111111111115,0.7045555555555556,0.46599999999999997,0.6828888888888889,0.5760000000000001,0.6947777777777778,0.6615555555555556,0.7747777777777778,0.6071111111111112,0.748
2017,0.365,0.7216666666666667,0.307,0.7196666666666667,0.45222222222222225,0.6928888888888889,0.5822222222222222,0.7175555555555556,0.6962222222222222,0.8081111111111112,0.6179999999999999,0.7807777777777778
2018,0.39,0.7134,0.3348,0.7117,0.4831,0.6796,0.5855,0.6979,0.6857,0.7923,0.6158,0.7632
2019,0.40730000000000005,0.6807000000000001,0.3711,0.6784,0.472,0.6613,0.5793,0.7264,0.6754,0.8064,0.6083999999999999,0.771
2020,0.412625,0.6785,0.375625,0.675125,0.48575,0.637625,0.525,0.667875,0.599,0.75875,0.550875,0.7225
2021,0.3419,0.7349,0.2837,0.7349,0.449,0.6869,0.5663,0.7054,0.6543,0.7912,0.5974,0.7672
2022,0.37277777777777776,0.7385555555555556,0.311,0.7305555555555556,0.4845555555555555,0.7005555555555555,0.5552222222222222,0.7120000000000001,0.6642222222222222,0.7929999999999999,0.5964444444444444,0.7721111111111111
2023,0.43016666666666664,0.6705,0.39716666666666667,0.6669999999999999,0.478,0.6526666666666666,0.5638333333333333,0.6758333333333333,0.6638333333333334,0.7735,0.5983333333333333,0.7324999999999999
2024,0.40265000000000006,0.67815,0.36795,0.6790499999999999,0.46365,0.65995,0.5749500000000001,0.70275,0.6527000000000001,0.784,0.60175,0.75085
2025,0.3917777777777778,0.6880000000000001,0.34755555555555556,0.6891111111111111,0.4706666666666666,0.6496666666666666,0.5245555555555556,0.6793333333333333,0.597111111111111,0.7352222222222222,0.5531111111111111,0.7126666666666667
