year,formal_institutions_incl_military,formal_institutions_incl_military_confidence,formal_institutions_excl_military,formal_institutions_excl_military_confidence,military_institutions,military_institutions_confidence,informal_cultural_norms,informal_cultural_norms_confidence,informal_relationships,informal_relationships_confidence,informal_overall,informal_overall_confidence
1977,0.40299999999999997,0.7174444444444444,0.35088888888888886,0.7127777777777777,0.5076666666666667,0.6759999999999999,0.5394444444444445,0.7153333333333333,0.5696666666666667,0.759888888888889,0.537,0.7508888888888889
1978,0.44719999999999993,0.64,0.42800000000000005,0.64,0.48360000000000003,0.6182,0.5448000000000001,0.6426000000000001,0.6438,0.754,0.5864,0.7066
1979,0.422,0.6464444444444444,0.39911111111111114,0.6437777777777778,0.45866666666666667,0.6434444444444445,0.5285555555555556,0.6458888888888888,0.5728888888888889,0.6908888888888889,0.5451111111111111,0.6754444444444444
1980,0.41888888888888887,0.6713333333333333,0.3731111111111111,0.6752222222222222,0.4892222222222223,0.639888888888889,0.5616666666666666,0.6993333333333334,0.6062222222222222,0.781,0.5744444444444444,0.7443333333333333
1981,0.41130000000000005,0.6879,0.3618,0.6857,0.5004,0.6631,0.5588,0.6808,0.6214999999999999,0.7596,0.5847,0.7352000000000001
1982,0.4202222222222222,0.6966666666666667,0.3833333333333333,0.6917777777777778,0.508,0.6677777777777778,0.5572222222222222,0.7122222222222222,0.6339999999999999,0.774,0.5866666666666667,0.7461111111111111
1983,0.3981,0.6822,0.3621,0.6808,0.4868,0.6443,0.5736,0.6936,0.671,0.7767000000000001,0.6134000000000001,0.747
1984,0.3531,0.7319,0.2854,0.7359,0.48410000000000003,0.6775,0.5647,0.7307,0.6965,0.8217000000000001,0.6254000000000001,0.792
1985,0.36733333333333335,0.7088888888888889,0.3165555555555556,0.7133333333333334,0.48000000000000004,0.6637777777777778,0.5916666666666667,0.7183333333333333,0.7092222222222222,0.8177777777777778,0.6334444444444445,0.7772222222222223
1986,0.4293,0.7018,0.3785,0.6976,0.5265,0.6632,0.5942999999999999,0.7531000000000001,0.6896,0.8396000000000001,0.6339,0.8047000000000001
1987,0.351,0.7123,0.2844,0.7105,0.4833,0.6571,0.48040000000000005,0.6752,0.5435000000000001,0.7429,0.4937,0.7267
1988,0.44177777777777777,0.6638888888888889,0.40744444444444444,0.6596666666666667,0.49666666666666665,0.643,0.6322222222222221,0.731,0.7258888888888889,0.8244444444444444,0.6713333333333333,0.7915555555555556
1989,0.41509999999999997,0.6774,0.3753,0.6781,0.49050000000000005,0.642,0.599,0.7232999999999999,0.6838,0.7958000000000001,0.6375,0.772
1990,0.43289999999999995,0.6695,0.3944,0.6685000000000001,0.4793,0.6667,0.5982000000000001,0.7129000000000001,0.6949,0.8018000000000001,0.6416999999999999,0.771
1991,0.369,0.7086666666666667,0.32266666666666666,0.7074444444444444,0.48566666666666664,0.6613333333333333,0.5956666666666667,0.7544444444444445,0.6824444444444445,0.8414444444444444,0.6256666666666667,0.8122222222222223
1992,0.36619999999999997,0.7081999999999999,0.3155,0.7075,0.47750000000000004,0.6458,0.5307000000000001,0.7211000000000001,0.6007,0.798,0.5457,0.7742
1993,0.3522222222222222,0.7093333333333334,0.29633333333333334,0.7068888888888889,0.46655555555555556,0.6563333333333333,0.5082222222222222,0.6973333333333334,0.5966666666666667,0.7655555555555555,0.540888888888889,0.7438888888888889
1994,0.4541111111111111,0.6832222222222222,0.41444444444444445,0.6752222222222222,0.5273333333333334,0.6813333333333333,0.5751111111111111,0.6964444444444444,0.6676666666666667,0.7861111111111111,0.6203333333333334,0.7538888888888889
1995,0.38466666666666666,0.7445555555555556,0.3232222222222222,0.7336666666666667,0.4828888888888889,0.7162222222222222,0.5733333333333334,0.7143333333333334,0.6828888888888889,0.8001111111111112,0.6243333333333333,0.7758888888888889
1996,0.3981,0.6881999999999999,0.3518,0.6891,0.49960000000000004,0.6496000000000001,0.5576000000000001,0.7067,0.6209,0.7745,0.5814999999999999,0.7478
1997,0.4527777777777778,0.6913333333333332,0.40311111111111114,0.6839999999999999,0.5381111111111111,0.6668888888888889,0.5357777777777778,0.6702222222222223,0.639888888888889,0.7516666666666666,0.5838888888888889,0.7215555555555555
1998,0.43744444444444447,0.667,0.40155555555555555,0.6646666666666667,0.5023333333333333,0.6522222222222223,0.5763333333333334,0.6759999999999999,0.6167777777777778,0.7506666666666667,0.587,0.7275555555555555
