year,formal_institutions_incl_military,formal_institutions_excl_military,military_institutions,informal_cultural_norms,informal_relationships,informal_overall
1977,0.35555226885550567,0.30324910366328917,0.19647024983563446,0.5324103758931346,0.5601633279719257,0.5284221663213968
1978,0.15598062499999998,0.13276781249999997,0.09715302491103202,0.35882975412387175,0.6431533156498674,0.5852855929804698
1979,0.21306720522516334,0.18767656196064894,0.19990312553963047,0.3834852915878204,0.4868018655516243,0.4535089652903438
1980,0.3185029791459782,0.2735507651801876,0.11786021878798403,0.5126248808388941,0.6098149096599802,0.5776844305120167
1981,0.3240901293792703,0.2748518302464635,0.2607244759463128,0.5557870152761457,0.58331411269089,0.5857841403699673
1982,0.20884880382775123,0.23145823964021844,0.25281214642262895,0.4660552262090483,0.6366313522825151,0.5909228592702904
1983,0.25974978012313105,0.22287852526439483,0.24882492627657923,0.5314896193771627,0.6728274752156559,0.6144263721552878
1984,0.34955554037436815,0.28236581057208865,0.24300177121771216,0.5635204598330368,0.6957273944261896,0.625039393939394
1985,0.3072860501567398,0.2547876947040498,0.26586374288583864,0.5364040216550657,0.7079880434782608,0.6315245175125089
1986,0.341800227985181,0.3329116972477064,0.3499277744270205,0.5931112734032664,0.6905682467841829,0.6352065365974896
1987,0.3056149094482662,0.28156650246305415,0.2292966063004109,0.4386731338862559,0.508343653250774,0.4975303426448328
1988,0.28625857740585775,0.24860586154623546,0.1774021081734923,0.5922621979024167,0.6961902964959569,0.6365892756878159
1989,0.2770138765869501,0.23417106621442263,0.15573894080996883,0.5553649937785152,0.6924594119125408,0.6021687823834196
1990,0.24465272591486184,0.29336320119670906,0.24843857807109643,0.6070119231308738,0.7016708655525068,0.6506843060959793
1991,0.21509987456883034,0.16533972043348516,0.22933148521505375,0.5949412371134021,0.6820134689026804,0.6254407660738713
1992,0.2268940977125106,0.17250925795053004,0.19156921647568903,0.5313132713909305,0.6036837092731829,0.5465963575303538
1993,0.2502174185463659,0.1912057529078906,0.14323497545285258,0.5117342256214149,0.6062325108853411,0.43553457804331586
1994,0.36523711172548384,0.31171186440677967,0.3401092628832355,0.5818832163369496,0.6728106007067137,0.5759464996315401
