year,woke_score,technological_progress,social_progress,economic_progress,institutional_trust,global_vs_national,confidence
2010,0.32915177415177416,0.6102265327265327,0.4679623154623154,0.299473581973582,0.26615356865356865,0.45283087283087287,0.7795112295112294
2011,0.17263176638176636,0.570267094017094,0.3278834283000949,0.2256778252611586,0.23056267806267805,0.37737060778727444,0.741929012345679
2012,0.23740079365079367,0.5174642857142857,0.37892460317460314,0.2323849206349206,0.2233968253968254,0.41740476190476195,0.7713571428571429
2013,0.25945021645021643,0.578030636030636,0.410038295038295,0.2633189033189033,0.24696081696081693,0.42655289155289156,0.7567120657120656
2014,0.44837229437229437,0.6425512265512265,0.5865712481962483,0.3793378427128427,0.30899098124098123,0.5472460317460317,0.8012079725829727
2015,0.24398212898212898,0.5876689976689977,0.4403356643356643,0.2935563325563325,0.28244366744366745,0.45276146076146073,0.7821934731934732
2016,0.2695964220964221,0.479025234025234,0.4050497650497651,0.25682567432567427,0.22838938838938835,0.39113201613201615,0.7835394235394236
2017,0.43904120570787236,0.6232884399551066,0.5528058361391694,0.32667949334616,0.25600448933782266,0.5126262626262625,0.7891454224787559
2018,0.38451554001554,0.6157284382284383,0.4994487179487179,0.32059615384615386,0.27740423465423464,0.4959419191919192,0.7862323232323233
2019,0.41674381174381175,0.5721534021534022,0.5701648351648352,0.3547685647685647,0.33412753912753906,0.5351487401487401,0.8141819291819292
2020,0.2506818181818182,0.5100378787878788,0.4044128787878788,0.26034090909090907,0.24083333333333334,0.3773863636363637,0.7500189393939394
2021,0.3324877344877345,0.6318225108225108,0.49816450216450214,0.32782683982683986,0.2647344877344877,0.46807647907647904,0.7852669552669553
2022,0.4055361305361305,0.6702110852110852,0.543088578088578,0.3626832426832427,0.3159492359492359,0.529918414918415,0.7906980056980056
2023,0.41402421652421656,0.6389672364672364,0.542022792022792,0.3612749287749288,0.32612535612535615,0.5373789173789173,0.7858974358974359
2024,0.43087423687423687,0.6228364413364413,0.5642554667554667,0.3564413641913642,0.30930350205350204,0.5087750721500721,0.7867483766233766
2025,0.35873982498982504,0.4967336521503188,0.5284625559625559,0.3054120879120879,0.24206739248405917,0.4409446571946572,0.774000814000814
